SampleID,OTU_3,OTU_4,OTU_7,OTU_24,OTU_1,OTU_30,OTU_580,OTU_36,OTU_68,OTU_88,OTU_22,OTU_28,OTU_210,OTU_102,OTU_148,OTU_5,OTU_32,OTU_572,OTU_23,OTU_14,OTU_596,OTU_19,OTU_156,OTU_64,OTU_39,OTU_439,OTU_118,OTU_1331,OTU_35,OTU_73,OTU_13,OTU_27,OTU_57,OTU_289,OTU_1063,OTU_99,OTU_15,OTU_52,OTU_12,OTU_334,OTU_10,OTU_56,OTU_80,OTU_6,OTU_111,OTU_41,OTU_40,OTU_26,OTU_515,OTU_103,OTU_209,OTU_101,OTU_72,OTU_45,OTU_700,OTU_63,OTU_51,OTU_113,OTU_514,OTU_201,OTU_38,OTU_115,OTU_71,OTU_141,OTU_144,OTU_513,OTU_200,OTU_42,OTU_195,OTU_206,OTU_121,OTU_187,OTU_94,OTU_188,OTU_49,OTU_137,OTU_305,OTU_172,OTU_54,OTU_66,OTU_132,OTU_34,OTU_133,OTU_2,OTU_79,OTU_91,OTU_9,OTU_74,OTU_304,OTU_347,OTU_87,OTU_11,OTU_50,OTU_104,OTU_177,OTU_1844,OTU_327,OTU_674,OTU_204,OTU_92,OTU_77,OTU_8,OTU_233,OTU_48,OTU_208,OTU_31,OTU_29,OTU_55,OTU_16,OTU_125,OTU_85,OTU_46,OTU_105,OTU_70,OTU_86,OTU_654,OTU_44,OTU_33,OTU_130,OTU_90,OTU_100,OTU_78,OTU_361,OTU_107,OTU_89,OTU_69,OTU_193,OTU_119,OTU_160,OTU_149,OTU_65,OTU_62,OTU_18,OTU_67,OTU_476,OTU_58,OTU_75,OTU_124,OTU_83,OTU_110,OTU_117,OTU_126,OTU_147,OTU_114,OTU_131,OTU_182,OTU_20,OTU_47,OTU_108,OTU_60,OTU_37,OTU_17,OTU_145,OTU_123,OTU_169,OTU_155,OTU_21,OTU_167,OTU_146,OTU_128,OTU_116,OTU_97,OTU_179,OTU_379,OTU_139,OTU_170,OTU_191,OTU_150,OTU_120,OTU_337,OTU_282,OTU_168,OTU_190,OTU_178,OTU_135,OTU_301,OTU_109,OTU_159,OTU_470,OTU_1212,OTU_1059,OTU_220,OTU_136,OTU_165,OTU_25,OTU_157,OTU_166,OTU_181,OTU_237,OTU_196,OTU_134,OTU_162,OTU_171,OTU_61,OTU_81,OTU_236,OTU_153,OTU_122,OTU_212,OTU_230,OTU_312,OTU_43,OTU_140,OTU_192,OTU_207,OTU_53,OTU_932,OTU_184,OTU_154,OTU_158,OTU_163,OTU_186,OTU_223,OTU_106,OTU_485,OTU_129,OTU_98,OTU_95,OTU_93,OTU_142,OTU_164,OTU_820,OTU_112,OTU_183,OTU_84,OTU_613,OTU_306,OTU_189,OTU_185,OTU_138,OTU_231,OTU_428,OTU_76,OTU_127,OTU_205,OTU_197,OTU_1130,OTU_266,OTU_59,OTU_143,OTU_464,OTU_265,OTU_96,OTU_219,OTU_249,OTU_161,OTU_367,OTU_618,OTU_509,OTU_240,OTU_311,OTU_1141,OTU_173,OTU_202,OTU_227,OTU_238,OTU_298,Phenotype
81.AVd_108,2430,1998,3198,1335,465,466,215,430,179,99,171,61,47,51,13,0,8,56,0,1,0,0,0,0,0,5,0,0,0,0,3,0,13,0,0,0,2,0,0,7,0,0,0,1,0,0,1,0,2,0,0,0,0,1,2,4,0,0,0,0,2,0,11,0,0,4,1,1,0,0,0,1,0,1,0,0,0,0,0,2,2,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,2,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,0,56,0,0,58,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,TF
83.AVd_109,2515,1809,3233,1212,437,600,136,193,113,81,147,60,24,27,18,0,0,46,2,1,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TF
85.AVd_110,2671,1802,3397,1320,690,655,187,234,149,98,113,41,23,26,13,9,6,48,3,4,2,3,3,3,3,9,1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TF
86.AVd_148,0,147,1,172,192,2,0,211,31,10,1,11,0,6,0,5,17,0,741,214,0,33,51,0,41,0,1,533,71,4,817,34,226,3,4,0,104,36,613,305,502,0,0,150,55,127,86,107,128,45,0,31,0,42,19,95,0,9,0,0,116,29,13,11,0,14,73,8,31,8,0,0,24,7,7,1,15,5,35,126,36,208,55,1546,82,0,1227,1,2,0,31,5,70,0,6,6,4,0,72,77,11,395,0,78,0,140,1,0,80,0,21,0,17,0,0,1,0,0,1,59,4,0,98,12,74,22,5,0,0,0,0,10,0,172,0,7,61,7,0,1,7,31,0,0,0,0,5,17,15,30,16,10,31,0,0,0,0,91,5,0,6,0,4,26,0,0,5,0,2,12,0,0,4,0,27,15,19,0,5,0,0,0,0,18,0,0,0,0,0,0,11,0,0,0,0,1,1,0,40,0,1,82,0,0,0,3,0,8,0,1,12,3,76,0,0,0,0,0,0,0,0,153,11,73,0,0,0,0,0,0,0,0,0,0,0,10,2,1,0,0,28,0,162,0,0,0,0,0,15,0,0,0,0,0,0,17,0,T
87.AVd_150,9,110,0,144,687,4,4,506,13,20,14,0,0,2,0,15,121,0,716,369,0,12,6,0,36,0,38,878,170,33,240,76,35,2,41,1,50,16,1031,165,1133,1,0,54,11,331,164,197,92,37,2,51,1,21,78,81,1,7,0,0,116,17,17,26,1,3,28,5,25,11,0,0,77,3,18,6,9,21,51,36,35,62,14,1595,34,0,1781,2,0,0,13,0,49,0,14,1,0,12,28,12,10,601,0,90,0,124,0,0,19,0,11,0,20,0,0,0,0,0,1,65,5,0,37,7,35,35,4,0,0,0,1,1,0,52,0,3,60,8,0,0,8,16,0,0,0,0,95,4,3,3,24,138,24,0,0,0,0,120,15,0,14,0,2,26,0,0,1,0,1,18,0,0,1,0,3,4,12,0,47,0,0,0,0,4,0,0,0,0,0,0,2,2,0,0,0,6,0,0,30,0,2,177,0,0,0,11,0,4,0,2,1,10,7,0,0,1,0,0,0,0,0,226,22,43,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,18,0,163,0,0,0,0,0,9,0,0,0,0,0,0,71,0,T
88.AVd_154,1,3,1,149,1,15,0,282,11,0,2,3,0,21,0,51,8,0,127,212,0,0,0,0,0,0,0,0,85,16,536,92,0,99,114,0,12,145,0,28,976,0,0,2181,0,295,0,69,165,5,1,19,0,1,0,31,1,0,0,0,29,3,0,26,0,1,0,281,13,5,0,0,0,0,0,0,10,17,0,0,27,0,0,0,0,1,1141,0,0,0,50,0,0,1,0,0,0,0,0,109,6,1003,0,83,8,0,0,0,252,0,24,0,0,0,0,62,0,70,0,0,0,0,76,38,0,0,6,0,0,0,8,0,43,309,0,80,0,0,0,0,1,58,0,0,0,0,53,0,0,111,20,89,0,0,0,10,0,0,0,0,40,0,0,1,0,0,3,0,13,0,0,0,8,4,0,0,0,0,129,0,20,0,0,0,0,0,0,0,13,0,0,14,0,0,0,0,5,0,0,0,0,93,0,0,0,251,0,0,0,9,0,0,1,2,0,2,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TF
89.AVd_166,5,12,4,100,845,85,1,161,17,31,0,10,0,5,0,544,418,0,243,1088,201,385,253,188,124,0,166,1444,410,106,0,151,83,17,339,131,210,0,1895,33,613,261,89,0,294,172,64,100,0,124,5,34,213,14,389,366,211,85,249,12,137,108,31,21,134,48,30,21,36,0,31,13,3,28,75,39,9,14,0,0,67,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,16,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T
90.AVd_167,3,0,4,118,847,57,0,96,17,23,1,9,0,7,0,664,336,0,337,1649,246,136,334,95,296,0,298,394,617,69,0,99,48,49,85,289,253,0,492,22,0,3,106,2,252,1,67,225,0,591,12,40,37,8,223,184,88,61,171,23,54,134,46,18,49,54,40,8,20,7,17,4,4,31,4,18,7,9,0,0,49,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T
92.AVd_170,1,0,0,456,586,201,0,357,27,30,1,23,0,7,0,1949,905,0,335,1003,159,26,26,504,140,0,187,462,384,186,0,61,55,131,224,785,255,0,469,44,938,65,260,0,263,258,226,84,0,8,5,182,270,58,35,543,476,82,176,41,74,88,36,15,69,48,100,49,98,42,84,14,7,53,75,17,9,17,0,0,57,16,0,0,0,4,0,4,6,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TF
93.AVd_292,1183,539,0,103,2092,107,0,232,58,17,4,9,4,6,0,512,123,0,0,108,180,348,0,0,0,0,0,0,29,0,3868,129,0,9,89,1,176,0,0,228,177,0,1,555,0,48,127,0,78,0,1,1,51,130,0,116,74,2,127,0,97,0,158,0,0,0,1,1,0,20,10,8,12,22,391,14,6,0,0,117,0,5,0,0,124,1,0,0,3,8,0,0,105,0,163,98,0,0,0,0,19,0,0,49,0,100,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,116,0,0,0,0,1,29,0,0,0,0,0,0,491,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,41,0,0,0,0,0,77,0,0,0,0,0,0,0,226,1,0,0,0,0,0,0,0,0,0,0,0,0,113,0,1,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T
94.AVd_296,2211,211,0,9,1355,116,11,300,15,4,4,3,0,0,0,830,48,3,0,1202,65,393,0,0,128,0,0,0,421,0,844,31,62,0,299,0,114,1,0,170,11,12,5,188,0,1,169,211,7,49,0,1,57,33,0,37,1,0,98,0,12,68,133,10,0,1,33,0,34,9,3,6,20,12,59,8,1,109,7,193,33,10,29,0,42,2,1,65,6,24,0,0,67,0,66,8,3,63,16,0,8,0,7,48,0,73,472,0,0,0,90,0,0,0,0,0,3,0,0,0,0,47,4,108,0,0,12,10,0,0,0,0,0,0,0,1,0,9,0,0,3,0,0,0,0,88,82,0,0,0,20,148,0,0,82,0,0,58,47,0,32,0,0,99,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,42,0,0,0,0,0,40,0,32,0,0,0,0,0,457,0,0,0,0,0,0,4,0,26,0,0,1,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T
95.AVd_298,497,378,0,18,2178,56,1,269,9,4,11,4,0,0,0,779,31,0,2,964,69,256,0,0,87,0,0,0,344,0,522,37,39,4,454,0,112,0,0,130,147,7,5,356,0,53,17,214,14,39,0,1,59,20,1,43,0,4,92,0,18,176,159,21,0,0,10,1,25,8,5,4,3,12,146,0,6,135,24,133,13,2,29,0,36,0,1,23,9,6,0,0,65,0,47,18,9,152,19,0,6,0,5,76,0,183,358,0,0,0,43,0,0,0,0,0,248,0,0,0,0,52,3,228,0,0,6,6,0,0,0,0,0,2,0,0,0,8,0,0,6,0,0,0,2,119,12,0,0,0,15,28,0,0,53,0,0,67,55,0,6,0,0,143,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,12,0,0,0,0,0,23,0,23,0,0,0,0,0,101,0,0,0,0,0,0,7,0,9,0,0,0,0,18,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,T
111.AVd_312,1,20,0,63,663,85,11,200,10,27,76,1,0,1,0,44,24,2,22,48,4,14,9,0,0,0,7,84,15,0,56,3,35,8,66,0,26,0,116,100,12,1,0,170,0,6,96,132,60,2,6,52,6,154,11,47,11,4,3,0,18,6,39,3,2,3,11,70,27,1,3,11,10,4,1,0,5,0,116,0,14,0,23,90,25,0,303,48,0,0,0,71,13,113,5,31,50,1,35,0,14,248,0,114,14,72,18,0,0,0,41,0,0,48,0,0,0,0,5,0,70,55,113,4,0,16,9,23,0,0,0,1,71,0,0,38,11,10,0,0,0,0,0,0,0,0,136,0,0,0,7,188,5,0,6,0,0,7,69,0,13,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,68,22,15,0,0,12,0,30,0,0,1,0,0,0,15,0,0,0,7,0,0,0,0,0,0,3,2,0,71,20,0,9,0,12,0,3,0,0,0,0,0,0,0,0,0,0,44,0,0,3,0,0,0,0,0,1,0,3,0,3,0,0,0,0,0,0,26,1,0,0,0,0,1,0,0,0,0,0,0,0,0,TF
112.AVd_306,250,195,1,115,1248,57,1,69,7,18,16,2,0,8,0,198,5,0,29,73,10,31,5,0,33,2,0,39,27,0,23,47,43,17,66,0,64,0,41,88,34,26,61,180,0,4,84,210,74,73,0,62,20,63,42,54,8,4,1,0,16,10,81,4,0,0,26,5,31,11,6,26,77,9,47,2,2,0,193,0,15,2,4,840,75,0,717,29,0,3,0,80,56,26,6,13,28,0,29,0,23,487,0,44,23,392,1,0,0,0,39,0,0,96,0,0,0,0,24,0,31,76,72,4,0,19,14,41,1,0,0,0,492,0,0,99,32,15,0,0,5,0,0,0,0,4,145,1,0,0,5,203,6,0,25,0,0,5,38,0,17,0,0,8,0,0,6,0,0,62,6,0,0,0,0,0,79,46,6,8,0,14,0,26,0,0,6,0,0,0,42,8,0,38,0,0,0,0,1,0,0,41,29,0,34,45,0,4,0,0,0,7,0,0,0,0,2,0,0,0,0,0,41,0,0,1,0,5,1,0,0,7,0,1,7,6,2,0,0,0,0,0,61,2,2,0,0,0,0,0,0,17,5,3,2,0,0,TF
113.AVd_307,0,260,1,137,728,36,5,241,9,9,55,0,0,3,0,115,17,0,3,40,10,4,0,1,9,0,12,27,24,0,198,19,17,18,45,0,66,0,39,101,12,1,3,196,0,4,27,86,33,2,2,23,0,100,45,66,5,1,0,0,26,8,49,0,0,0,30,17,66,16,0,16,3,0,23,0,1,0,252,0,21,1,30,762,48,0,388,30,0,0,0,131,63,0,11,35,13,3,22,0,30,298,0,85,29,375,11,0,0,0,36,0,0,28,0,0,0,0,2,0,21,51,75,6,0,17,15,12,6,0,0,0,465,0,0,87,35,17,0,0,1,0,0,0,0,10,152,0,0,0,6,217,5,0,13,0,0,9,66,0,11,0,0,4,0,0,5,0,0,127,3,0,0,0,0,0,88,21,4,0,0,3,0,13,0,0,5,0,0,0,19,4,0,0,0,0,0,0,6,0,0,91,11,0,45,78,0,15,0,0,0,10,0,0,0,0,0,0,1,0,0,0,42,0,0,0,0,3,0,0,0,1,0,1,368,7,0,0,0,0,1,0,43,40,66,0,0,0,0,0,0,344,361,229,96,0,0,TF
114.AVd_308,158,198,0,166,596,47,1,122,11,21,54,3,0,2,0,552,15,2,45,142,14,11,8,0,20,1,0,31,59,1,154,17,14,13,12,0,67,0,65,123,1,0,0,124,0,0,59,139,82,44,4,53,6,63,59,55,16,1,2,0,33,13,75,0,0,0,44,32,57,6,4,25,28,6,22,2,1,0,262,0,28,2,34,687,51,0,434,2,0,1,0,32,70,38,15,22,38,1,25,0,38,433,1,85,51,340,16,0,0,0,46,0,0,32,0,0,0,0,5,0,26,72,109,14,0,19,19,22,20,0,0,0,384,0,0,95,14,13,0,0,0,0,0,0,0,8,126,0,0,0,39,167,2,0,9,0,0,8,62,0,15,0,0,12,0,0,6,0,0,18,3,0,0,0,0,0,70,41,3,7,0,76,0,13,0,0,1,0,0,0,10,4,0,30,11,0,0,0,1,0,0,1,26,0,72,40,0,14,0,0,0,13,0,0,0,0,1,0,1,0,0,0,27,0,0,1,0,1,9,0,0,0,1,0,1,5,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TF
118.AVd_290,6,2,0,913,2421,5,0,144,176,99,96,28,0,15,16,284,1,0,1259,2,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,209,0,0,184,4,143,1,23,0,0,363,326,1,2,8,49,0,0,1,10,1,0,0,0,267,24,0,0,0,0,324,448,6,0,173,0,0,0,91,22,72,0,2,0,1,3,1,71,0,0,17,0,0,0,1,4,4,0,0,1,1,0,0,0,1,19,2,7,0,7,1,0,0,0,1,0,2,7,0,0,0,0,4,0,0,2,2,1,0,1,1,0,0,0,0,0,56,0,0,0,0,1,3,2,0,0,0,0,0,0,4,1,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,1,1,0,0,0,0,0,7,50,0,2,0,0,0,0,0,0,0,16,0,0,0,461,0,0,0,0,0,212,0,0,0,0,1,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,253,5,112,85,1,0,0,0,1,0,3,55,19,0,0,0,1,0,0,61,92,59,35,0,0,T
